video,time_s,visible,text_score,identity_score,notes
huaiqiu_mg3_memory_01_loop_return,0,yes,3,3,首帧可清楚读出上方发光槐楸和右侧木板槐楸
huaiqiu_mg3_memory_01_loop_return,5,no,NA,NA,视角已离开店面/招牌不可见
huaiqiu_mg3_memory_01_loop_return,10,no,NA,NA,招牌不可见
huaiqiu_mg3_memory_01_loop_return,15,no,NA,NA,招牌不可见
huaiqiu_mg3_memory_01_loop_return,20,no,NA,NA,招牌不可见
huaiqiu_mg3_memory_01_loop_return,30,no,NA,NA,招牌不可见
huaiqiu_mg3_memory_01_loop_return,45,no,NA,NA,招牌不可见
huaiqiu_mg3_memory_01_loop_return,55,no,NA,NA,招牌不可见
huaiqiu_mg3_memory_01_loop_return,59,no,NA,NA,未回到店面，60秒附近不可评估
huaiqiu_mg3_memory_02_side_revisit,0,yes,3,3,首帧可清楚读出上方发光槐楸和右侧木板槐楸
huaiqiu_mg3_memory_02_side_revisit,5,no,NA,NA,视角已离开店面/招牌不可见
huaiqiu_mg3_memory_02_side_revisit,10,no,NA,NA,招牌不可见
huaiqiu_mg3_memory_02_side_revisit,15,no,NA,NA,招牌不可见
huaiqiu_mg3_memory_02_side_revisit,20,no,NA,NA,招牌不可见
huaiqiu_mg3_memory_02_side_revisit,30,no,NA,NA,招牌不可见
huaiqiu_mg3_memory_02_side_revisit,45,no,NA,NA,招牌不可见
huaiqiu_mg3_memory_02_side_revisit,55,no,NA,NA,招牌不可见
huaiqiu_mg3_memory_02_side_revisit,59,no,NA,NA,未回到店面，60秒附近不可评估
