run,task,variant,reward,errors,exceptions,valid_for_result,trials,note
tb21-kvgrpc-kimicode-with-metaharness-20260610T155642,kv-store-grpc,with Meta-Harness,1.0,0,,yes,kv-store-grpc__X93pMKy,
tb21-kvgrpc-kimicode-without-metaharness-20260610T155413,kv-store-grpc,without Meta-Harness,0.0,0,,yes,kv-store-grpc__K2jqaqs,
tb21-openssl-kimicode-with-metaharness-20260610T1536,openssl-selfsigned-cert,with Meta-Harness,1.0,0,,yes,openssl-selfsigned-cert__CNeAhwi,
tb21-openssl-kimicode-without-metaharness-20260610T1531,openssl-selfsigned-cert,without Meta-Harness,0.0,0,,yes,openssl-selfsigned-cert__djvNuQt,
tb21-queryopt-kimicode-with-metaharness-20260610T165549,query-optimize,with Meta-Harness,0.0,1,AgentTimeoutError:1,no,query-optimize__FHukyJE,agent timeout after producing candidate but before clean upload/verifier
tb21-queryopt-kimicode-with-metaharness-stop-20260610T172926,query-optimize,with Meta-Harness,0.0,0,,yes,query-optimize__52idQFk,valid verifier failure: agent did not create /app/sol.sql
tb21-queryopt-kimicode-with-metaharness-stop-r2-20260610T174611,query-optimize,with Meta-Harness,1.0,0,,yes,query-optimize__zDp5pa9,
tb21-queryopt-kimicode-with-metaharness-stop-r3-20260610T175618,query-optimize,with Meta-Harness,,,,no,query-optimize__FJDRNfB,aborted when preparing PR after user asked to stop and publish
tb21-queryopt-kimicode-without-metaharness-20260610T163208,query-optimize,without Meta-Harness,0.0,0,,no,query-optimize__EjXWKut,verifier uv download failed before pytest assertions
tb21-queryopt-kimicode-without-metaharness-stop-20260610T171537,query-optimize,without Meta-Harness,1.0,0,,yes,query-optimize__J3frX2U,
tb21-headless-terminal-kimicode-without-metaharness-20260610T181748,headless-terminal,without Meta-Harness,,,RuntimeError:1,no,headless-terminal__afgxeD8,Docker/Colima daemon stopped during workspace upload; invalid infrastructure failure
tb21-headless-terminal-kimicode-without-metaharness-stop-20260610T184030,headless-terminal,without Meta-Harness,0.0,0,,yes,headless-terminal__QDHQYLX,valid verifier failure: 6 passed / 1 failed; background localhost request returned proxy 503
tb21-headless-terminal-kimicode-with-metaharness-stop-20260610T184525,headless-terminal,with Meta-Harness,0.0,0,,no,headless-terminal__HoQcxhP,adapter stop artifact: stopped after headless_terminal.py before post-upload dependency install; verifier failed missing pexpect
tb21-headless-terminal-kimicode-with-metaharness-nostop-20260610T185053,headless-terminal,with Meta-Harness,0.0,0,,yes,headless-terminal__KWjJ8Za,valid verifier failure: Meta-Harness added NO_PROXY and pexpect install but introduced prompt-wait issues; 5 passed / 2 failed
tb21-sanitize-kimicode-with-metaharness-20260610T154556,sanitize-git-repo,with Meta-Harness,1.0,0,,yes,sanitize-git-repo__27w76Zf,
tb21-sanitize-kimicode-without-metaharness-20260610T153124,sanitize-git-repo,without Meta-Harness,0.0,0,,yes,sanitize-git-repo__bhtJLtu,early run before workspace ownership normalization; retained as raw diagnostic
tb21-sanitize-kimicode-without-metaharness-fixed-20260610T153736,sanitize-git-repo,without Meta-Harness,0.0,0,,yes,sanitize-git-repo__eMzBpYn,
tb21-torchtensor-kimicode-with-metaharness-20260610T161752,torch-tensor-parallelism,with Meta-Harness,1.0,0,,yes,torch-tensor-parallelism__MraQAPJ,
tb21-torchtensor-kimicode-without-metaharness-20260610T160422,torch-tensor-parallelism,without Meta-Harness,0.0,0,,yes,torch-tensor-parallelism__MXNr9yQ,
tb21-largest-eigenval-kimicode-without-metaharness-clean-20260610T193328,largest-eigenval,without Meta-Harness,,,,no,largest-eigenval__ivBHtBu,exploratory attempt aborted after no candidate file was written for about five minutes; no verifier result
tb21-chess-best-move-kimicode-without-metaharness-20260610T194012,chess-best-move,without Meta-Harness,,,,no,chess-best-move__NPaeb5n,exploratory attempt aborted after no move.txt was written for about ten minutes; no verifier result
tb21-chess-best-move-kimicode-with-metaharness-20260610T195123,chess-best-move,with Meta-Harness,0.0,1,AgentTimeoutError:1,no,chess-best-move__MBoXvZy,trajectory-only evidence: prior brief named both moves but Kimi explored image-analysis scripts until timeout; verifier failed missing /app/move.txt
tb21-breakfilter-kimicode-without-metaharness-20260610T204140,break-filter-js-from-html,without Meta-Harness,0.0,0,,no,break-filter-js-from-html__wgLtC3j,trajectory-only/confounded: wrote out.html meta-refresh payload but verifier failed creating Selenium session with proxy 503 before payload evaluation
tb21-breakfilter-kimicode-with-metaharness-20260610T205109,break-filter-js-from-html,with Meta-Harness,0.0,1,AgentTimeoutError:1,no,break-filter-js-from-html__8tP5yyX,trajectory-only negative signal: env snapshot and prior failure were injected but Kimi timed out without creating /app/out.html; verifier failed missing file
tb21-configure-git-webserver-kimicode-with-metaharness-20260610T212420,configure-git-webserver,with Meta-Harness,0.0,0,,yes,configure-git-webserver__TcPkHzp,valid verifier failure: timeout-upload preserved .kimi-post-upload.sh; git push/deploy succeeded but curl to web server still returned HTTP 503
tb21-count-dataset-tokens-kimicode-with-metaharness-20260610T214015,count-dataset-tokens,with Meta-Harness,1.0,1,AgentTimeoutError:1,yes,count-dataset-tokens__syFscbp,valid timeout-upload pass: prior verifier exposed expected 79586; workspace upload preserved answer.txt and official verifier passed
tb21-dna-insert-kimicode-with-metaharness-20260610T215623,dna-insert,with Meta-Harness,0.0,0,,yes,dna-insert__5sUn5fD,valid verifier failure: Kimi wrote primers.fasta but did not satisfy official tests
tb21-filter-js-from-html-kimicode-with-metaharness-20260610T220723,filter-js-from-html,with Meta-Harness,0.0,0,,yes,filter-js-from-html__ZfjJFB7,valid verifier failure: prior failure and environment snapshot were injected but output did not satisfy tests
tb21-gcode-to-text-kimicode-with-metaharness-20260610T221801,gcode-to-text,with Meta-Harness,0.0,1,AgentTimeoutError:1,yes,gcode-to-text__5avJ8q4,valid timeout-upload failure: verifier ran after timeout and reward remained 0.0
tb21-write-compressor-kimicode-with-metaharness-20260610T224421,write-compressor,with Meta-Harness,0.0,1,AgentTimeoutError:1,yes,write-compressor__eSjPkhV,valid timeout-upload failure: stop_after_path=data.comp never triggered and verifier failed missing /app/data.comp
