task,baseline_reward,baseline_exception,baseline_status,baseline_trial,baseline_result_path,with_metaharness_reward,with_metaharness_exception,with_metaharness_status,with_metaharness_trial,with_metaharness_result_path,counts_for_without_n,counts_for_m
adaptive-rejection-sampler,0.0,AgentTimeoutError,timeout_failure,adaptive-rejection-sampler__7AAg4Pi,/Users/hugo/Desktop/super-refactor/harbor/runs/tb21-kimi-k26-local-019e737a-colima16g-proxy/jobs/tb21-adaptive-rejection-sampler-claude-code-k6/adaptive-rejection-sampler__7AAg4Pi/result.json,,AgentTimeoutError,invalid_or_missing,adaptive-rejection-sampler__Q4oCfYc,/Users/hugo/Projects/Harness-TrajecDebug/artifacts/harbor-runs/tb21-adaptive-rejection-sampler-kimicode-with-metaharness-20260611T012505/adaptive-rejection-sampler__Q4oCfYc/result.json,False,False
bn-fit-modify,1.0,,passed,bn-fit-modify__sCNsbRM,/Users/hugo/Desktop/super-refactor/harbor/runs/tb21-kimi-k26-local-019e737a-colima16g-proxy/jobs/tb21-bn-fit-modify-claude-code-k6/bn-fit-modify__sCNsbRM/result.json,,,not_run,,,True,False
break-filter-js-from-html,0.0,,failed,break-filter-js-from-html__jJqdVr7,/Users/hugo/Desktop/super-refactor/harbor/runs/tb21-kimi-k26-local-019e737a-colima16g-proxy/jobs/tb21-break-filter-js-from-html-claude-code-k6/break-filter-js-from-html__jJqdVr7/result.json,0.0,AgentTimeoutError,timeout_failure,break-filter-js-from-html__8tP5yyX,/Users/hugo/Projects/Harness-TrajecDebug/artifacts/harbor-runs/tb21-breakfilter-kimicode-with-metaharness-20260610T205109/break-filter-js-from-html__8tP5yyX/result.json,False,False
build-cython-ext,1.0,,passed,build-cython-ext__FvYDwi7,/Users/hugo/Desktop/super-refactor/harbor/runs/tb21-kimi-k26-local-019e737a-colima16g-proxy/jobs/tb21-build-cython-ext-claude-code-k6/build-cython-ext__FvYDwi7/result.json,,,not_run,,,True,False
build-pmars,1.0,,passed,build-pmars__aLhKzNX,/Users/hugo/Desktop/super-refactor/harbor/runs/tb21-kimi-k26-local-019e737a-colima16g-proxy/jobs/tb21-build-pmars-claude-code-k6/build-pmars__aLhKzNX/result.json,,,not_run,,,True,False
build-pov-ray,,EnvironmentStartTimeoutError,invalid_or_missing,build-pov-ray__ehChcRX,/Users/hugo/Desktop/super-refactor/harbor/runs/tb21-kimi-k26-local-019e737a-colima16g-proxy/jobs/tb21-build-pov-ray-claude-code-k6/build-pov-ray__ehChcRX/result.json,,,not_run,,,False,False
caffe-cifar-10,0.0,AgentTimeoutError,timeout_failure,caffe-cifar-10__FY65VhG,/Users/hugo/Desktop/super-refactor/harbor/runs/tb21-kimi-k26-local-019e737a-colima16g-proxy/jobs/tb21-caffe-cifar-10-claude-code-k6/caffe-cifar-10__FY65VhG/result.json,,,not_run,,,False,False
cancel-async-tasks,0.0,,failed,cancel-async-tasks__pdHm6Ub,/Users/hugo/Desktop/super-refactor/harbor/runs/tb21-kimi-k26-local-019e737a-colima16g-proxy/jobs/tb21-cancel-async-tasks-claude-code-k6/cancel-async-tasks__pdHm6Ub/result.json,1.0,,passed,cancel-async-tasks__UmqeHfc,/Users/hugo/Projects/Harness-TrajecDebug/docs/case-studies/kimi-code-cancel-async-tasks-metaharness-2026-06-10/raw/with-metaharness-4x/cancel-async-tasks__UmqeHfc/result.json,False,True
chess-best-move,0.0,,failed,chess-best-move__YWzYkSZ,/Users/hugo/Desktop/super-refactor/harbor/runs/tb21-kimi-k26-local-019e737a-colima16g-proxy/jobs/tb21-chess-best-move-claude-code-k6/chess-best-move__YWzYkSZ/result.json,0.0,AgentTimeoutError,timeout_failure,chess-best-move__MBoXvZy,/Users/hugo/Projects/Harness-TrajecDebug/artifacts/harbor-runs/tb21-chess-best-move-kimicode-with-metaharness-20260610T195123/chess-best-move__MBoXvZy/result.json,False,False
circuit-fibsqrt,0.0,AgentTimeoutError,timeout_failure,circuit-fibsqrt__2ZkY6WZ,/Users/hugo/Desktop/super-refactor/harbor/runs/tb21-kimi-k26-local-019e737a-colima16g-proxy/jobs/tb21-circuit-fibsqrt-claude-code-k6/circuit-fibsqrt__2ZkY6WZ/result.json,,,not_run,,,False,False
